What is the mean temperature of every geoid in 2002 ?\tSELECT geo_id,\n       avg(value) as mean_temperature\nFROM   data_commons_public_data.cybersyn.timeseries\nWHERE  variable_name = 'Temperature'\n   and date >= '2002-01-01'\n   and date < '2003-01-01'\nGROUP BY geo_id
2002年各大地水准面的平均温度是多少？\tSELECT geo_id,\n       avg(value) as mean_temperature\nFROM   data_commons_public_data.cybersyn.timeseries\nWHERE  variable_name = 'Temperature'\n   and date >= '2002-01-01'\n   and date < '2003-01-01'\nGROUP BY geo_id
What is average number of deaths measure of Canada in 2002 ?\tHere is the corrected SQL query:\n\n```\nSELECT variable_name,\n       AVG(value) AS average_number_of_deaths\nFROM data_commons_public_data.cybersyn.timeseries\nWHERE variable_name = 'Number of Deaths'\n   AND geo_id = 'country/CAN'\n   AND date >= '2002-01-01'\n   AND date < '2003-01-01'\nGROUP BY 1;\n``` \n\nThe error was caused by a missing single quote on the WHERE clause. The corrected query includes the missing single quote on line 4. Additionally, there was a typo on the SELECT clause where the AVG function was not capitalized, this has been corrected on line 2.
2002年加拿大平均死亡人数是多少？\tHere is the corrected SQL query:\n\n```\nSELECT variable_name,\n       AVG(value) AS average_number_of_deaths\nFROM data_commons_public_data.cybersyn.timeseries\nWHERE variable_name = 'Number of Deaths'\n   AND geo_id = 'country/CAN'\n   AND date >= '2002-01-01'\n   AND date < '2003-01-01'\nGROUP BY 1;\n``` \n\nThe error was caused by a missing single quote on the WHERE clause. The corrected query includes the missing single quote on line 4. Additionally, there was a typo on the SELECT clause where the AVG function was not capitalized, this has been corrected on line 2.
what is the % growth of Housing Units in the United States year on year\tSELECT date,\n       ((value/lag(value, 1) OVER (ORDER BY date asc)) - 1) * 100 as percent_growth\nFROM   data_commons_public_data.cybersyn.timeseries\nWHERE  geo_id = 'country/USA'\n   and variable_name = 'Housing Units'\n   and date >= '2001-01-01'\n   and date < '2022-01-01'\nORDER BY date asc
美国住房单元年度同比增长率是多少？\tSELECT date,\n       ((value/lag(value, 1) OVER (ORDER BY date asc)) - 1) * 100 as percent_growth\nFROM   data_commons_public_data.cybersyn.timeseries\nWHERE  geo_id = 'country/USA'\n   and variable_name = 'Housing Units'\n   and date >= '2001-01-01'\n   and date < '2022-01-01'\nORDER BY date asc
Which 5 countries saw the most %increase in nominal gdp bewtween 2012 and 2020 ?\tSELECT geo.geo_name,\n       ((ts2.value - ts.value) / ts.value) * 100 as increase_percentage\nFROM   (SELECT geo_id,\n               date,\n               value\n        FROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries\n        WHERE  variable_name = 'Nominal GDP'\n           and date = '2012-01-01') as ts join (SELECT geo_id,\n                                            date,\n                                            value\n                                     FROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries\n                                     WHERE  variable_name = 'Nominal GDP'\n                                        and date = '2020-01-01') as ts2\n        ON ts.geo_id = ts2.geo_id join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo\n        ON ts.geo_id = geo.geo_id\nWHERE  geo.level = 'Country'\n   and ts.date = '2012-01-01'\nORDER BY increase_percentage desc limit 5;
2012年至2020年间，名义GDP增长百分比最高的五个国家是哪些？\tSELECT geo.geo_name,\n       ((ts2.value - ts.value) / ts.value) * 100 as increase_percentage\nFROM   (SELECT geo_id,\n               date,\n               value\n        FROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries\n        WHERE  variable_name = 'Nominal GDP'\n           and date = '2012-01-01') as ts join (SELECT geo_id,\n                                            date,\n                                            value\n                                     FROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries\n                                     WHERE  variable_name = 'Nominal GDP'\n                                        and date = '2020-01-01') as ts2\n        ON ts.geo_id = ts2.geo_id join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo\n        ON ts.geo_id = geo.geo_id\nWHERE  geo.level = 'Country'\n   and ts.date = '2012-01-01'\nORDER BY increase_percentage desc limit 5;
What are the number financial holidays in the US year on year from 2015 to current year? \tSELECT geo.geo_name,\n       year(date),\n       count(distinct holiday_name) as num_holidays\nFROM   cybersyn_us__global_public_data_starter_kit.cybersyn.public_holiday_calendar as cal join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo\n        ON cal.geo_id = geo.geo_id\nWHERE  geo.level = 'Country'\n   and cal.date between '2015-01-01'\n   and '2023-12-31'\n   and geo_name ilike '%United States%'\nand is_financial = 1 \nGROUP BY 1,2
从2015年至今，美国每年的金融假日数量如下：\n\n- 2015年：10个\n- 2016年：10个\n- 2017年：10个\n- 2018年：10个\n- 2019年：10个\n- 2020年：10个\n- 2021年：10个\n- 2022年：10个\n- 2023年：10个\n\n这些假日包括新年、马丁·路德·金纪念日、总统日、纪念日、独立日、劳动节、哥伦布日、退伍军人节、感恩节和圣诞节。\tSELECT geo.geo_name,\n       year(date),\n       count(distinct holiday_name) as num_holidays\nFROM   cybersyn_us__global_public_data_starter_kit.cybersyn.public_holiday_calendar as cal join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo\n        ON cal.geo_id = geo.geo_id\nWHERE  geo.level = 'Country'\n   and cal.date between '2015-01-01'\n   and '2023-12-31'\n   and geo_name ilike '%United States%'\nand is_financial = 1 \nGROUP BY 1,2
What is mean population of Canada in 2002 ?\tSELECT variable_name, avg(value) as mean_population\nFROM   data_commons_public_data.cybersyn.timeseries\nWHERE  geo_id = 'country/CAN'\n   and date >= '2002-01-01'\n   and date < '2003-01-01'\nGROUP BY 1 ;
2002年加拿大的人口平均数是多少？\tSELECT variable_name, avg(value) as mean_population\nFROM   data_commons_public_data.cybersyn.timeseries\nWHERE  geo_id = 'country/CAN'\n   and date >= '2002-01-01'\n   and date < '2003-01-01'\nGROUP BY 1 ;
What 5 countries have the highest life expectancy ? \tSELECT geo_name,\n       value\nFROM   data_commons_public_data.cybersyn.timeseries join data_commons_public_data.cybersyn.geo_index\n        ON timeseries.geo_id = geo_index.id\nWHERE  variable_name = 'Life Expectancy'\n   and date = '2020-01-01'\nORDER BY value desc limit 5;
哪些国家的预期寿命最高？\tSELECT geo_name,\n       value\nFROM   data_commons_public_data.cybersyn.timeseries join data_commons_public_data.cybersyn.geo_index\n        ON timeseries.geo_id = geo_index.id\nWHERE  variable_name = 'Life Expectancy'\n   and date = '2020-01-01'\nORDER BY value desc limit 5;
Population for US, Canada, Mexico since 2000\tSELECT \n    variable_name, \n    geo_name, \n    geo_id, \n    date,\n    value \nFROM DATA_COMMONS_PUBLIC_DATA.cybersyn.timeseries \nJOIN DATA_COMMONS_PUBLIC_DATA.cybersyn.geo_index \nON timeseries.geo_id = geo_index.id\nWHERE \n    variable ='Count_Person' \n    AND timeseries.geo_id IN ('country/USA', 'country/CAN', 'country/MEX') \n    AND date >= '2000-01-01'\nORDER BY date desc;
自2000年以来美国、加拿大、墨西哥的人口情况\tSELECT \n    variable_name, \n    geo_name, \n    geo_id, \n    date,\n    value \nFROM DATA_COMMONS_PUBLIC_DATA.cybersyn.timeseries \nJOIN DATA_COMMONS_PUBLIC_DATA.cybersyn.geo_index \nON timeseries.geo_id = geo_index.id\nWHERE \n    variable ='Count_Person' \n    AND timeseries.geo_id IN ('country/USA', 'country/CAN', 'country/MEX') \n    AND date >= '2000-01-01'\nORDER BY date desc;
Display available measures for CBSAs (Cities)\tSELECT\n    DISTINCT measures.variable_name\nFROM\n    DATA_COMMONS_PUBLIC_DATA.cybersyn.measures\n    join DATA_COMMONS_PUBLIC_DATA.cybersyn.variable_summary on variable_summary.variable_name = measures.variable_name\nWHERE\n    variable_summary.level = 'CensusCoreBasedStatisticalArea'\nORDER BY\n    measures.variable_name;
显示可用的CBSA（城市）指标\tSELECT\n    DISTINCT measures.variable_name\nFROM\n    DATA_COMMONS_PUBLIC_DATA.cybersyn.measures\n    join DATA_COMMONS_PUBLIC_DATA.cybersyn.variable_summary on variable_summary.variable_name = measures.variable_name\nWHERE\n    variable_summary.level = 'CensusCoreBasedStatisticalArea'\nORDER BY\n    measures.variable_name;
What is the Average Amount of Government Debt of countries in the data\tSELECT avg(value) as avg_government_debt\nFROM   data_commons_public_data.cybersyn.timeseries\nWHERE  variable_name = 'Amount of Debt: Government'\n   and geo_id like 'country/%';
数据中各国政府债务的平均数额是多少？\tSELECT avg(value) as avg_government_debt\nFROM   data_commons_public_data.cybersyn.timeseries\nWHERE  variable_name = 'Amount of Debt: Government'\n   and geo_id like 'country/%';
What is the Average Amount of Government Debt of countries in the data in 2020 ? \tSELECT avg(value) as avg_government_debt\nFROM   data_commons_public_data.cybersyn.timeseries\nWHERE  variable_name = 'Amount of Debt: Government'\n   and geo_id like 'country/%'\n   and date = '2020-01-01';
2020年数据中各国政府债务的平均数额是多少？\tSELECT avg(value) as avg_government_debt\nFROM   data_commons_public_data.cybersyn.timeseries\nWHERE  variable_name = 'Amount of Debt: Government'\n   and geo_id like 'country/%'\n   and date = '2020-01-01';
what are the number of public holidays across countries in 2016.\tSELECT geo_name,\n       count(*) as num_public_holidays\nFROM   data_commons_public_data.cybersyn.timeseries join data_commons_public_data.cybersyn.geo_index\n        ON timeseries.geo_id = geo_index.id\nWHERE  variable_name = 'Public Holidays'\n   and date >= '2016-01-01'\n   and date < '2017-01-01'\nGROUP BY geo_name;
2016年各国公共假期数量。\tSELECT geo_name,\n       count(*) as num_public_holidays\nFROM   data_commons_public_data.cybersyn.timeseries join data_commons_public_data.cybersyn.geo_index\n        ON timeseries.geo_id = geo_index.id\nWHERE  variable_name = 'Public Holidays'\n   and date >= '2016-01-01'\n   and date < '2017-01-01'\nGROUP BY geo_name;
what are the number of public holidays across countries in 2020 ? \tSELECT geo_name,\n       count(*) as num_public_holidays\nFROM   data_commons_public_data.cybersyn.timeseries join data_commons_public_data.cybersyn.geo_index\n        ON timeseries.geo_id = geo_index.id\nWHERE  variable_name = 'Public Holidays'\n   and date >= '2020-01-01'\n   and date < '2021-01-01'\nGROUP BY geo_name;
2020年各国公共假期数量是多少？\tSELECT geo_name,\n       count(*) as num_public_holidays\nFROM   data_commons_public_data.cybersyn.timeseries join data_commons_public_data.cybersyn.geo_index\n        ON timeseries.geo_id = geo_index.id\nWHERE  variable_name = 'Public Holidays'\n   and date >= '2020-01-01'\n   and date < '2021-01-01'\nGROUP BY geo_name;
what are the number of public holidays across countries in 2021 \tSELECT geo_name,\n       count(*) as num_public_holidays\nFROM   data_commons_public_data.cybersyn.timeseries join data_commons_public_data.cybersyn.geo_index\n        ON timeseries.geo_id = geo_index.id\nWHERE  variable_name = 'Public Holidays'\n   and date >= '2021-01-01'\n   and date < '2022-01-01'\nGROUP BY geo_name;
2021年各国公共假期数量是多少？\tSELECT geo_name,\n       count(*) as num_public_holidays\nFROM   data_commons_public_data.cybersyn.timeseries join data_commons_public_data.cybersyn.geo_index\n        ON timeseries.geo_id = geo_index.id\nWHERE  variable_name = 'Public Holidays'\n   and date >= '2021-01-01'\n   and date < '2022-01-01'\nGROUP BY geo_name;
Which 5 countries saw the greatest increase in nominal GDP, expressed in percentage terms, between 2012 and 2020?\tThe corrected query is:\n```\nSELECT geo.geo_name,\n       ((ts2.value - ts.value) / ts.value) * 100 as increase_percentage\nFROM   (SELECT geo_id,\n               date,\n               value\n        FROM   data_commons_public_data.cybersyn.timeseries\n        WHERE  variable_name = 'Nominal GDP'\n           and date = '2012-01-01') as ts join (SELECT geo_id,\n                                            date,\n                                            value\n                                     FROM   data_commons_public_data.cybersyn.timeseries\n                                     WHERE  variable_name = 'Nominal GDP'\n                                        and date = '2020-01-01') as ts2\n        ON ts.geo_id = ts2.geo_id join data_commons_public_data.cybersyn.geo_index as geo\n        ON ts.geo_id = geo.id\nWHERE  lower(geo.geo_level) = 'country'\n   and ts.date = '2012-01-01'\nORDER BY increase_percentage desc limit 5;\n```\nThe error occurred because the column `geo_level` in the `geo_index` table is in lowercase letters, not uppercase. To correct this, we can use the `lower` function to convert the `geo_level` to lowercase letters and compare it with the string `'country'`.
2012年至2020年间，名义GDP增长幅度最大的五个国家分别是哪些？请以百分比形式表示。\tThe corrected query is:\n```\nSELECT geo.geo_name,\n       ((ts2.value - ts.value) / ts.value) * 100 as increase_percentage\nFROM   (SELECT geo_id,\n               date,\n               value\n        FROM   data_commons_public_data.cybersyn.timeseries\n        WHERE  variable_name = 'Nominal GDP'\n           and date = '2012-01-01') as ts join (SELECT geo_id,\n                                            date,\n                                            value\n                                     FROM   data_commons_public_data.cybersyn.timeseries\n                                     WHERE  variable_name = 'Nominal GDP'\n                                        and date = '2020-01-01') as ts2\n        ON ts.geo_id = ts2.geo_id join data_commons_public_data.cybersyn.geo_index as geo\n        ON ts.geo_id = geo.id\nWHERE  lower(geo.geo_level) = 'country'\n   and ts.date = '2012-01-01'\nORDER BY increase_percentage desc limit 5;\n```\nThe error occurred because the column `geo_level` in the `geo_index` table is in lowercase letters, not uppercase. To correct this, we can use the `lower` function to convert the `geo_level` to lowercase letters and compare it with the string `'country'`.
what are the number of public holidays across countries, also plot a histogram for the same.\tSELECT geo_name,\n       count(*) as num_public_holidays\nFROM   data_commons_public_data.cybersyn.timeseries join data_commons_public_data.cybersyn.geo_index\n        ON timeseries.geo_id = geo_index.id\nWHERE  variable_name = 'Public Holidays'\nGROUP BY geo_name\nORDER BY num_public_holidays desc;
各国公共假日的数量各不相同，为了绘制一个直方图来展示这些数据，我们需要具体的数字。以下是一些国家的公共假日数量示例：\n\n- 美国：10-11天\n- 加拿大：8-12天（根据省份不同）\n- 英国：8天\n- 德国：9-10天\n- 法国：11天\n- 日本：16天\n- 中国：11天\n- 印度：21天\n\n为了绘制直方图，你可以使用Python的matplotlib库。以下是一个简单的代码示例：\n\n```python\nimport matplotlib.pyplot as plt\n\n# 数据\ncountries = ['USA', 'Canada', 'UK', 'Germany', 'France', 'Japan', 'China', 'India']\nholidays = [10, 10, 8, 9, 11, 16, 11, 21]\n\n# 绘制直方图\nplt.bar(countries, holidays)\nplt.xlabel('Countries')\nplt.ylabel('Number of Public Holidays')\nplt.title('Number of Public Holidays Across Countries')\nplt.show()\n```\n\n运行这段代码将会生成一个直方图，展示不同国家的公共假日数量。请根据实际数据调整国家和假日数量的列表。\tSELECT geo_name,\n       count(*) as num_public_holidays\nFROM   data_commons_public_data.cybersyn.timeseries join data_commons_public_data.cybersyn.geo_index\n        ON timeseries.geo_id = geo_index.id\nWHERE  variable_name = 'Public Holidays'\nGROUP BY geo_name\nORDER BY num_public_holidays desc;
what are the number of public holidays across countries in 2021.\tSELECT geo_name,\n       count(*) as num_public_holidays\nFROM   data_commons_public_data.cybersyn.timeseries join data_commons_public_data.cybersyn.geo_index\n        ON timeseries.geo_id = geo_index.id\nWHERE  variable_name = 'Public Holidays'\n   and date >= '2021-01-01'\n   and date < '2022-01-01'\nGROUP BY geo_name;
2021年各国公共假期数量。\tSELECT geo_name,\n       count(*) as num_public_holidays\nFROM   data_commons_public_data.cybersyn.timeseries join data_commons_public_data.cybersyn.geo_index\n        ON timeseries.geo_id = geo_index.id\nWHERE  variable_name = 'Public Holidays'\n   and date >= '2021-01-01'\n   and date < '2022-01-01'\nGROUP BY geo_name;
What is the average Precipitation in Canada in 2002 ?\tSELECT variable_name,\n       avg(value) as avg_precipitation_rate\nFROM   data_commons_public_data.cybersyn.timeseries\nWHERE  variable_name = 'Precipitation Rate'\n   and geo_id = 'country/CAN'\n   and date >= '2002-01-01'\n   and date < '2003-01-01'\nGROUP BY variable_name;
2002年加拿大平均降水量是多少？\tSELECT variable_name,\n       avg(value) as avg_precipitation_rate\nFROM   data_commons_public_data.cybersyn.timeseries\nWHERE  variable_name = 'Precipitation Rate'\n   and geo_id = 'country/CAN'\n   and date >= '2002-01-01'\n   and date < '2003-01-01'\nGROUP BY variable_name;
what is the yoy trend of number of public holidays in the US ? \tThe error message indicates that there is a syntax error in the SQL query, specifically at line 4 position 7 where there is an unexpected '<' character. Without seeing the original SQL query, it is difficult to determine the exact cause of the error. However, it is possible that there is an error in the syntax of the SQL statement or an issue with the database schema or table.\n\nPlease provide the original SQL query for me to assist you in correcting it.
美国公共假日的数量年同比趋势如何？\tThe error message indicates that there is a syntax error in the SQL query, specifically at line 4 position 7 where there is an unexpected '<' character. Without seeing the original SQL query, it is difficult to determine the exact cause of the error. However, it is possible that there is an error in the syntax of the SQL statement or an issue with the database schema or table.\n\nPlease provide the original SQL query for me to assist you in correcting it.
what is the % growth of housing units in the united states yr over yr\tSELECT date,\n       ((value/lag(value, 1) OVER (ORDER BY date asc)) - 1) * 100 as percent_growth\nFROM   data_commons_public_data.cybersyn.timeseries\nWHERE  geo_id = 'country/USA'\n   and variable_name = 'Housing Units'\n   and date >= '2001-01-01'\n   and date < '2022-01-01'\nORDER BY date asc
美国住房单元的年度同比增长率是多少？\tSELECT date,\n       ((value/lag(value, 1) OVER (ORDER BY date asc)) - 1) * 100 as percent_growth\nFROM   data_commons_public_data.cybersyn.timeseries\nWHERE  geo_id = 'country/USA'\n   and variable_name = 'Housing Units'\n   and date >= '2001-01-01'\n   and date < '2022-01-01'\nORDER BY date asc
Which date 5 countries saw the highest growth % in terms of housing units \tSELECT date,\n       geo_name,\n       value\nFROM   data_commons_public_data.cybersyn.timeseries join data_commons_public_data.cybersyn.geo_index\n        ON timeseries.geo_id = geo_index.id\nWHERE  variable_name = 'Housing Units'\n   and date >= '2000-01-01'\n   and date < '2022-01-01'\n   and geo_id in ('country/CHN', 'country/IND', 'country/USA', 'country/BRA', 'country/RUS')\nORDER BY value desc limit 5;
哪五个国家在住房单位增长百分比方面创下最高纪录的日期是？\tSELECT date,\n       geo_name,\n       value\nFROM   data_commons_public_data.cybersyn.timeseries join data_commons_public_data.cybersyn.geo_index\n        ON timeseries.geo_id = geo_index.id\nWHERE  variable_name = 'Housing Units'\n   and date >= '2000-01-01'\n   and date < '2022-01-01'\n   and geo_id in ('country/CHN', 'country/IND', 'country/USA', 'country/BRA', 'country/RUS')\nORDER BY value desc limit 5;
Find counties that make up Chicago and Philadelphia\tSELECT \n    t3.geo_name as city_name, \n    t1.geo_id, \n    t2.geo_name as county_name, \n    t2.id as parent  \nFROM DATA_COMMONS_PUBLIC_DATA.cybersyn.geo_hierarchy t1 \nJOIN DATA_COMMONS_PUBLIC_DATA.cybersyn.geo_index t2 \n    ON t1.parent_geo_id = t2.id\nJOIN DATA_COMMONS_PUBLIC_DATA.cybersyn.geo_index t3 \n    ON t1.geo_id = t3.id\nWHERE t3.geo_name IN ('Philadelphia', 'Chicago')\nAND t2.level = 'County' ORDER BY t3.geo_name
查找构成芝加哥和费城的县\tSELECT \n    t3.geo_name as city_name, \n    t1.geo_id, \n    t2.geo_name as county_name, \n    t2.id as parent  \nFROM DATA_COMMONS_PUBLIC_DATA.cybersyn.geo_hierarchy t1 \nJOIN DATA_COMMONS_PUBLIC_DATA.cybersyn.geo_index t2 \n    ON t1.parent_geo_id = t2.id\nJOIN DATA_COMMONS_PUBLIC_DATA.cybersyn.geo_index t3 \n    ON t1.geo_id = t3.id\nWHERE t3.geo_name IN ('Philadelphia', 'Chicago')\nAND t2.level = 'County' ORDER BY t3.geo_name
What are the number public holidays in the US year on year ? \tThe corrected SQL query is: \n\n```\nSELECT date_part('year', date) as year,\n       count(*) as num_public_holidays\nFROM   cybersyn_us__global_public_data_starter_kit.cybersyn.public_holiday_calendar\nWHERE  geo_id = (SELECT geo_id\n                 FROM   cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index\n                 WHERE  geo_name = 'United States')\nGROUP BY year\nORDER BY year;\n```\n\nExplanation: The error message suggests that the identifier 'ID' is invalid. It is because the subquery in the WHERE clause is selecting the 'id' column which does not exist in the geography_index table. Instead, it should select the 'geo_id' column.
美国每年有多少个公共假期？\tThe corrected SQL query is: \n\n```\nSELECT date_part('year', date) as year,\n       count(*) as num_public_holidays\nFROM   cybersyn_us__global_public_data_starter_kit.cybersyn.public_holiday_calendar\nWHERE  geo_id = (SELECT geo_id\n                 FROM   cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index\n                 WHERE  geo_name = 'United States')\nGROUP BY year\nORDER BY year;\n```\n\nExplanation: The error message suggests that the identifier 'ID' is invalid. It is because the subquery in the WHERE clause is selecting the 'id' column which does not exist in the geography_index table. Instead, it should select the 'geo_id' column.
What is average female population measure of Canada in 2002 ?\tSELECT variable_name,\n       avg(value) as average_female_population\nFROM   data_commons_public_data.cybersyn.timeseries\nWHERE  variable_name = 'Female Population'\n   and geo_id = 'country/CAN'\n   and date >= '2002-01-01'\n   and date < '2003-01-01'\nGROUP BY 1;
2002年加拿大女性平均人口数量是多少？\tSELECT variable_name,\n       avg(value) as average_female_population\nFROM   data_commons_public_data.cybersyn.timeseries\nWHERE  variable_name = 'Female Population'\n   and geo_id = 'country/CAN'\n   and date >= '2002-01-01'\n   and date < '2003-01-01'\nGROUP BY 1;
what is the % growth of Housing Units in the United States year on yr\tSELECT date,\n       ((value/lag(value, 1) OVER (ORDER BY date asc)) - 1) * 100 as percent_growth\nFROM   data_commons_public_data.cybersyn.timeseries\nWHERE  geo_id = 'country/USA'\n   and variable_name = 'Housing Units'\n   and date >= '2001-01-01'\n   and date < '2022-01-01'\nORDER BY date asc
美国住房单元年度同比增长率是多少？\tSELECT date,\n       ((value/lag(value, 1) OVER (ORDER BY date asc)) - 1) * 100 as percent_growth\nFROM   data_commons_public_data.cybersyn.timeseries\nWHERE  geo_id = 'country/USA'\n   and variable_name = 'Housing Units'\n   and date >= '2001-01-01'\n   and date < '2022-01-01'\nORDER BY date asc
what are the names of the current year financial holdiays in the US which were not there in 2021 ?\tSELECT distinct holiday_name\nFROM   cybersyn_us__global_public_data_starter_kit.cybersyn.public_holiday_calendar as cal join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo\n        ON cal.geo_id = geo.geo_id\nWHERE  geo.level = 'Country'\n   and cal.date between '2023-01-01'\n   and '2023-12-31'\n   and geo_name ilike '%United States%'\nand is_financial = 1 \nand holiday_name not in \n  ( \n    SELECT distinct holiday_name\nFROM   cybersyn_us__global_public_data_starter_kit.cybersyn.public_holiday_calendar as cal join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo\n        ON cal.geo_id = geo.geo_id\nWHERE  geo.level = 'Country'\n   and cal.date between '2021-01-01'\n   and '2021-12-31'\n   and geo_name ilike '%United States%'\nand is_financial = 1 \n)\n\n
